test name, construction, rendering, total
meshes grid/spheres small, 0.0012943, 4.269656, 4.2709503
meshes grid/spheres big, 0.0085447, 4.9293243, 4.937869
meshes grid/dragon, 3.5120271, 3.6100362, 7.1220633
meshes grid/gold dragon, 3.4773029, 191.1231873, 194.6004902
meshes grid/happy, 4.4054798, 3.6595674, 8.0650472
meshes grid/porsche, 0.0544208, 4.2413656, 4.2957864
meshes grid/horse, 0.3699614, 4.3970248, 4.7669862
meshes grid/head, 19.5952181, 5.0371471, 24.6323652
meshes grid/vase, 1.6379118, 3.9404835, 5.5783953
meshes grid/armadillo, 7.6567388, 4.1624632, 11.819202
meshes BVH/icosahedron, 0.0071415, 1.8119601, 1.8191016
meshes BVH/urn, 0.0061655, 4.9518364, 4.9580019
meshes BVH/bunny, 0.3491143, 5.5624264, 5.9115407
meshes BVH/bunny texture, 0.3528926, 2.9566057, 3.3094983
meshes BVH/bunnyAO, 0.327947, 73.1650918, 73.4930388
meshes BVH/inside bunny, 0.3478994, 12.4029972, 12.7508966
meshes BVH/bunnies small, 0.4795307, 12.1679574, 12.6474881
meshes BVH/bunnies big, 1.1453033, 15.5962223, 16.7415256
meshes BVH/spheres small, 0.001674, 6.9457321, 6.9474061
meshes BVH/spheres big, 0.0067332, 9.1050758, 9.111809
meshes BVH/dragon, 4.5047304, 5.4224824, 9.9272128
meshes BVH/gold dragon, 4.5130417, 228.9253246, 233.4383663
meshes BVH/happy, 5.9151714, 5.4770952, 11.3922666
meshes BVH/porsche, 0.0450533, 10.6276308, 10.6726841
meshes BVH/horse, 0.4671636, 4.7593404, 5.226504
meshes BVH/head, 20.9422876, 7.3664409, 28.3087285
meshes BVH/vase, 2.0968579, 6.0285255, 8.1253834
meshes BVH/armadillo, 7.8681008, 4.4318094, 12.2999102
